event_type_id,event_domain,domain_label,display_name,default_outcome,default_stage,default_social,safety_level,description
EVT_PRESENTATION_DONE,WORK_STUDY,일·공부,발표를 잘 마침,OUT_SUCCESS,COMPLETED,COLLEAGUES,SAFE,발표를 잘 마침 상황
EVT_PRESENTATION_NERVOUS,WORK_STUDY,일·공부,발표 전 긴장,OUT_UNCERTAIN,WAITING,ALONE,SAFE,발표 전 긴장 상황
EVT_EXAM_SUCCESS,WORK_STUDY,일·공부,시험 결과가 좋음,OUT_SUCCESS,COMPLETED,CLASSMATES,SAFE,시험 결과가 좋음 상황
EVT_DEADLINE_PRESSURE,WORK_STUDY,일·공부,마감 압박,OUT_DIFFICULT,ONGOING,ALONE,SAFE,마감 압박 상황
EVT_WORK_CONFLICT,WORK_STUDY,일·공부,협업 갈등,OUT_MIXED,ONGOING,COLLEAGUES,SAFE,협업 갈등 상황
EVT_TASK_COMPLETED,WORK_STUDY,일·공부,과제·업무 완료,OUT_SUCCESS,COMPLETED,ALONE,SAFE,과제·업무 완료 상황
EVT_MEET_FRIENDS,RELATIONSHIP,관계,친구를 만남,OUT_POSITIVE,COMPLETED,FRIENDS,SAFE,친구를 만남 상황
EVT_WARM_TALK,RELATIONSHIP,관계,따뜻한 대화,OUT_POSITIVE,COMPLETED,FRIENDS,SAFE,따뜻한 대화 상황
EVT_RELATION_CONFLICT,RELATIONSHIP,관계,관계 갈등,OUT_DIFFICULT,ONGOING,PARTNER,SAFE,관계 갈등 상황
EVT_RECONCILIATION,RELATIONSHIP,관계,화해함,OUT_RELIEF,COMPLETED,PARTNER,SAFE,화해함 상황
EVT_WAIT_MESSAGE,RELATIONSHIP,관계,연락을 기다림,OUT_UNCERTAIN,WAITING,ONLINE,SAFE,연락을 기다림 상황
EVT_BREAKUP,RELATIONSHIP,관계,이별,OUT_LOSS,COMPLETED,PARTNER,SENSITIVE,이별 상황
EVT_FAMILY_MEAL,FAMILY,가족,가족과 식사,OUT_POSITIVE,COMPLETED,FAMILY,SAFE,가족과 식사 상황
EVT_FAMILY_SUPPORT,FAMILY,가족,가족의 응원,OUT_POSITIVE,COMPLETED,FAMILY,SAFE,가족의 응원 상황
EVT_FAMILY_CONFLICT,FAMILY,가족,가족 갈등,OUT_DIFFICULT,ONGOING,FAMILY,SAFE,가족 갈등 상황
EVT_FAMILY_WORRY,FAMILY,가족,가족이 걱정됨,OUT_UNCERTAIN,ONGOING,FAMILY,SENSITIVE,가족이 걱정됨 상황
EVT_GOOD_SLEEP,HEALTH,건강,푹 잠,OUT_POSITIVE,COMPLETED,ALONE,SAFE,푹 잠 상황
EVT_POOR_SLEEP,HEALTH,건강,잠을 설침,OUT_DIFFICULT,COMPLETED,ALONE,SAFE,잠을 설침 상황
EVT_EXERCISE,HEALTH,건강,운동을 마침,OUT_SUCCESS,COMPLETED,ALONE,SAFE,운동을 마침 상황
EVT_BODY_PAIN,HEALTH,건강,몸이 아픔,OUT_DIFFICULT,ONGOING,ALONE,SENSITIVE,몸이 아픔 상황
EVT_HOSPITAL,HEALTH,건강,병원·검사,OUT_MIXED,COMPLETED,STRANGERS,SENSITIVE,병원·검사 상황
EVT_RECOVERY,HEALTH,건강,회복 중,OUT_RELIEF,ONGOING,ALONE,SAFE,회복 중 상황
EVT_NEW_GOAL,FUTURE,미래·진로,새 목표,OUT_POSITIVE,STARTED,ALONE,SAFE,새 목표 상황
EVT_CAREER_DECISION,FUTURE,미래·진로,진로 결정 고민,OUT_UNCERTAIN,ONGOING,ALONE,SAFE,진로 결정 고민 상황
EVT_WAIT_RESULT,FUTURE,미래·진로,결과를 기다림,OUT_UNCERTAIN,WAITING,ALONE,SAFE,결과를 기다림 상황
EVT_NEW_OPPORTUNITY,FUTURE,미래·진로,새 기회,OUT_POSITIVE,STARTED,ALONE,SAFE,새 기회 상황
EVT_UNEXPECTED_EXPENSE,FINANCE,경제,예상 밖 지출,OUT_DIFFICULT,COMPLETED,ALONE,SAFE,예상 밖 지출 상황
EVT_SAVING_PROGRESS,FINANCE,경제,저축 목표 진행,OUT_SUCCESS,ONGOING,ALONE,SAFE,저축 목표 진행 상황
EVT_FINANCE_WORRY,FINANCE,경제,경제적 걱정,OUT_DIFFICULT,ONGOING,ALONE,SAFE,경제적 걱정 상황
EVT_LISTEN_MUSIC,HOBBY,취미,음악 감상,OUT_POSITIVE,COMPLETED,ALONE,SAFE,음악 감상 상황
EVT_PLAY_GAME,HOBBY,취미,게임,OUT_MIXED,COMPLETED,ALONE,SAFE,게임 상황
EVT_READ_BOOK,HOBBY,취미,독서,OUT_POSITIVE,COMPLETED,ALONE,SAFE,독서 상황
EVT_CREATE_ART,HOBBY,취미,그림·창작,OUT_POSITIVE,COMPLETED,ALONE,SAFE,그림·창작 상황
EVT_COOK,HOBBY,취미,요리·베이킹,OUT_POSITIVE,COMPLETED,ALONE,SAFE,요리·베이킹 상황
EVT_PET_TIME,HOBBY,취미,반려동물과 시간,OUT_POSITIVE,COMPLETED,PET,SAFE,반려동물과 시간 상황
EVT_NAP,REST,휴식,낮잠·휴식,OUT_RELIEF,COMPLETED,ALONE,SAFE,낮잠·휴식 상황
EVT_WALK,REST,휴식,산책,OUT_RELIEF,COMPLETED,ALONE,SAFE,산책 상황
EVT_CAFE_REST,REST,휴식,카페에서 쉼,OUT_POSITIVE,COMPLETED,ALONE,SAFE,카페에서 쉼 상황
EVT_QUIET_TIME,REST,휴식,조용히 혼자 쉼,OUT_NEUTRAL,COMPLETED,ALONE,SAFE,조용히 혼자 쉼 상황
EVT_COMMUTE,DAILY,일상,출퇴근·등하교,OUT_NEUTRAL,COMPLETED,CROWD,SAFE,출퇴근·등하교 상황
EVT_HOUSEWORK,DAILY,일상,집안일,OUT_MIXED,COMPLETED,ALONE,SAFE,집안일 상황
EVT_TRAFFIC_DELAY,DAILY,일상,교통 지연,OUT_DIFFICULT,COMPLETED,CROWD,SAFE,교통 지연 상황
EVT_WEATHER_DAY,DAILY,일상,날씨가 인상적임,OUT_MIXED,COMPLETED,ALONE,SAFE,날씨가 인상적임 상황
EVT_SELF_PRIDE,SELF,나 자신,스스로 뿌듯함,OUT_SUCCESS,COMPLETED,ALONE,SAFE,스스로 뿌듯함 상황
