element_type,element_id,display_name,visual_prompt,fit
LIGHTING,LGT_WARM_SUN,따뜻한 햇빛,warm diffused sunlight,
LIGHTING,LGT_GOLDEN,황금빛 노을,golden coral sunset light,
LIGHTING,LGT_MORNING,부드러운 아침빛,soft peach morning light,
LIGHTING,LGT_CLOUD,구름 사이 확산광,soft diffused cloudy light,
LIGHTING,LGT_LAMP,따뜻한 등불,small warm lamp glow,
LIGHTING,LGT_MOON,은은한 달빛,gentle moonlight,
LIGHTING,LGT_STAR,별빛,soft sparkling starlight,
LIGHTING,LGT_RIM,보호하는 테두리 빛,gentle protective rim light,
LIGHTING,LGT_AFTER_RAIN,비 갠 뒤 반사광,warm reflected light after rain,
LIGHTING,LGT_DAWN,차분한 새벽빛,soft lavender dawn light,
LIGHTING,LGT_GAME,밝은 게임 조명,bright friendly game illustration glow,
PALETTE,PAL_CORAL_GOLD,코랄·골드,coral|peach|gold|cream,
PALETTE,PAL_PEACH_PINK,피치·핑크,peach|soft pink|cream,
PALETTE,PAL_LAVENDER_BLUE,라벤더·블루,lavender|soft blue|cream,
PALETTE,PAL_PLUM_CORAL,플럼·코랄,deep plum|coral|orange,
PALETTE,PAL_BLUE_GRAY,뮤트 블루·그레이,muted blue|gray|warm white,
PALETTE,PAL_CREAM_BROWN,크림·브라운,cream|warm brown|soft gold,
PALETTE,PAL_MINT_SKY,민트·하늘,mint|sky blue|cream,
PALETTE,PAL_ROSE_GOLD,로즈골드,rose pink|gold|plum,
PALETTE,PAL_NAVY_GOLD,네이비·골드,deep navy|gold|cream,
PALETTE,PAL_SUNSET_PURPLE,노을 오렌지·보라,orange|magenta|purple|plum,
PALETTE,PAL_WATERCOLOR,부드러운 수채 혼합,soft peach|lavender|mint|cream,
PALETTE,PAL_CANDY,밝은 파스텔,coral|pink|yellow|sky blue,
