action_id,display_name,visual_prompt,motion_level,safety_note,required_pose_tags,gaze_target,required_location_tags,compatible_object_ids,incompatible_tags,candidate_weight,aliases
ACT_PRESENTATION_DONE,발표를 마치고 미소 짓기,"a clear, safe visual action of 발표를 마치고 미소 짓기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_WAITING,조용히 기다리기,"a clear, safe visual action of 조용히 기다리기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_HOLD_RESULT,결과를 들고 기뻐하기,"a clear, safe visual action of 결과를 들고 기뻐하기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_DESK_WORK,책상에서 집중하기,"a clear, safe visual action of 책상에서 집중하기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_SIT_APART,거리를 두고 앉기,"a clear, safe visual action of 거리를 두고 앉기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_FINISH_WORK,체크하고 쉬기,"a clear, safe visual action of 체크하고 쉬기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_PLAY_WITH_FRIENDS,친구들과 웃으며 놀기,"a clear, safe visual action of 친구들과 웃으며 놀기, with natural anatomy",DYNAMIC,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_TALK_SIDE_BY_SIDE,나란히 대화하기,"a clear, safe visual action of 나란히 대화하기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_RECONCILE,차를 나누며 화해하기,"a clear, safe visual action of 차를 나누며 화해하기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_WAIT_MESSAGE,창가에서 연락 기다리기,"a clear, safe visual action of 창가에서 연락 기다리기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_WATCH_DISTANCE,멀어지는 실루엣 바라보기,"a clear, safe visual action of 멀어지는 실루엣 바라보기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_SHARE_MEAL,함께 식사하기,"a clear, safe visual action of 함께 식사하기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_RECEIVE_SUPPORT,응원 받기,"a clear, safe visual action of 응원 받기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_HOLD_PHONE,휴대폰을 들고 걱정하기,"a clear, safe visual action of 휴대폰을 들고 걱정하기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_WAKE_REFRESHED,상쾌하게 일어나기,"a clear, safe visual action of 상쾌하게 일어나기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_TIRED_SIT,피곤하게 앉기,"a clear, safe visual action of 피곤하게 앉기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_STRETCH,운동 후 스트레칭,"a clear, safe visual action of 운동 후 스트레칭, with natural anatomy",DYNAMIC,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_SAFE_REST,안전하게 몸 쉬기,"a clear, safe visual action of 안전하게 몸 쉬기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_SLOW_WALK,천천히 걷기,walking slowly with restrained body language and a natural safe stride,LOW,"폭력·위험 행동 금지, 팔다리 수 유지",WALKING,ACTION_TARGET,WALKABLE,,,45,걷기|산책
ACT_LOOK_AHEAD,빛을 향해 바라보기,"a clear, safe visual action of 빛을 향해 바라보기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_CROSSROAD,갈림길 바라보기,"a clear, safe visual action of 갈림길 바라보기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_OPEN_DOOR,밝은 문 열기,"a clear, safe visual action of 밝은 문 열기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_REVIEW_RECEIPT,영수증과 메모 보기,"a clear, safe visual action of 영수증과 메모 보기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_MARK_PROGRESS,진행 표시하기,"a clear, safe visual action of 진행 표시하기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_HOLD_NOTE,노트를 들고 생각하기,"a clear, safe visual action of 노트를 들고 생각하기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
