rule_id,preference_type,preference_id,display_name,category,action_candidates,object_candidates,location_candidates,effect_candidates,visual_focus,weight,avoid_rule,note,constraint_type,max_scene_influence,diversity_bonus,repeat_guard
INR-001,HOBBY,HOBBY-001,헬스,운동/스포츠,ACT_STRETCH,OBJ_SHOES|OBJ_WATER,LOC_PARK|LOC_GYM|LOC_FOREST,FX_WIND,MOVEMENT,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-002,HOBBY,HOBBY-002,홈트레이닝,운동/스포츠,ACT_STRETCH,OBJ_SHOES|OBJ_WATER,LOC_PARK|LOC_GYM|LOC_FOREST,FX_WIND,MOVEMENT,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-003,HOBBY,HOBBY-003,요가,운동/스포츠,ACT_STRETCH,OBJ_SHOES|OBJ_WATER,LOC_PARK|LOC_GYM|LOC_FOREST,FX_WIND,MOVEMENT,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-004,HOBBY,HOBBY-004,필라테스,운동/스포츠,ACT_STRETCH,OBJ_SHOES|OBJ_WATER,LOC_PARK|LOC_GYM|LOC_FOREST,FX_WIND,MOVEMENT,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-005,HOBBY,HOBBY-005,러닝,운동/스포츠,ACT_STRETCH,OBJ_SHOES|OBJ_WATER,LOC_PARK|LOC_GYM|LOC_FOREST,FX_WIND,MOVEMENT,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-006,HOBBY,HOBBY-006,산책,운동/스포츠,ACT_STRETCH,OBJ_SHOES|OBJ_WATER,LOC_PARK|LOC_GYM|LOC_FOREST,FX_WIND,MOVEMENT,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-007,HOBBY,HOBBY-007,자전거,운동/스포츠,ACT_STRETCH,OBJ_SHOES|OBJ_WATER,LOC_PARK|LOC_GYM|LOC_FOREST,FX_WIND,MOVEMENT,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-008,HOBBY,HOBBY-008,등산,운동/스포츠,ACT_STRETCH,OBJ_SHOES|OBJ_WATER,LOC_PARK|LOC_GYM|LOC_FOREST,FX_WIND,MOVEMENT,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-009,HOBBY,HOBBY-009,수영,운동/스포츠,ACT_STRETCH,OBJ_SHOES|OBJ_WATER,LOC_PARK|LOC_GYM|LOC_FOREST,FX_WIND,MOVEMENT,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-010,HOBBY,HOBBY-010,클라이밍,운동/스포츠,ACT_STRETCH,OBJ_SHOES|OBJ_WATER,LOC_PARK|LOC_GYM|LOC_FOREST,FX_WIND,MOVEMENT,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-011,HOBBY,HOBBY-011,배드민턴,운동/스포츠,ACT_STRETCH,OBJ_SHOES|OBJ_WATER,LOC_PARK|LOC_GYM|LOC_FOREST,FX_WIND,MOVEMENT,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-012,HOBBY,HOBBY-012,테니스,운동/스포츠,ACT_STRETCH,OBJ_SHOES|OBJ_WATER,LOC_PARK|LOC_GYM|LOC_FOREST,FX_WIND,MOVEMENT,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-013,HOBBY,HOBBY-013,축구,운동/스포츠,ACT_STRETCH,OBJ_SHOES|OBJ_WATER,LOC_PARK|LOC_GYM|LOC_FOREST,FX_WIND,MOVEMENT,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-014,HOBBY,HOBBY-014,농구,운동/스포츠,ACT_STRETCH,OBJ_SHOES|OBJ_WATER,LOC_PARK|LOC_GYM|LOC_FOREST,FX_WIND,MOVEMENT,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-015,HOBBY,HOBBY-015,골프,운동/스포츠,ACT_STRETCH,OBJ_SHOES|OBJ_WATER,LOC_PARK|LOC_GYM|LOC_FOREST,FX_WIND,MOVEMENT,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-016,HOBBY,HOBBY-016,볼링,운동/스포츠,ACT_STRETCH,OBJ_SHOES|OBJ_WATER,LOC_PARK|LOC_GYM|LOC_FOREST,FX_WIND,MOVEMENT,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-017,HOBBY,HOBBY-017,국내여행,여행/외출,ACT_TRAVEL|ACT_WATCH_VIEW,OBJ_MAP|OBJ_SUITCASE|OBJ_CAMERA,LOC_STATION|LOC_LAKESIDE|LOC_MOUNTAIN,FX_PATH,JOURNEY,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-018,HOBBY,HOBBY-018,해외여행,여행/외출,ACT_TRAVEL|ACT_WATCH_VIEW,OBJ_MAP|OBJ_SUITCASE|OBJ_CAMERA,LOC_STATION|LOC_LAKESIDE|LOC_MOUNTAIN,FX_PATH,JOURNEY,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-019,HOBBY,HOBBY-019,캠핑,여행/외출,ACT_TRAVEL|ACT_WATCH_VIEW,OBJ_MAP|OBJ_SUITCASE|OBJ_CAMERA,LOC_STATION|LOC_LAKESIDE|LOC_MOUNTAIN,FX_PATH,JOURNEY,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-020,HOBBY,HOBBY-023,맛집 탐방,여행/외출,ACT_TRAVEL|ACT_WATCH_VIEW,OBJ_MAP|OBJ_SUITCASE|OBJ_CAMERA,LOC_STATION|LOC_LAKESIDE|LOC_MOUNTAIN,FX_PATH,JOURNEY,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-021,HOBBY,HOBBY-024,카페 투어,여행/외출,ACT_TRAVEL|ACT_WATCH_VIEW,OBJ_MAP|OBJ_SUITCASE|OBJ_CAMERA,LOC_STATION|LOC_LAKESIDE|LOC_MOUNTAIN,FX_PATH,JOURNEY,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-022,HOBBY,HOBBY-025,문화예술체험,문화/관람,ACT_CELEBRATE,OBJ_TICKET|OBJ_STARS,LOC_EVENT|LOC_OUTDOOR_CAFE,FX_SPARKLE,ATMOSPHERE,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-023,HOBBY,HOBBY-026,공연 관람,문화/관람,ACT_CELEBRATE,OBJ_TICKET|OBJ_STARS,LOC_EVENT|LOC_OUTDOOR_CAFE,FX_SPARKLE,ATMOSPHERE,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
INR-024,HOBBY,HOBBY-027,팝업스토어 방문,문화/관람,ACT_CELEBRATE,OBJ_TICKET|OBJ_STARS,LOC_EVENT|LOC_OUTDOOR_CAFE,FX_SPARKLE,ATMOSPHERE,5,,lowest-priority decoration; never reduces cause visibility,OPTIONAL,LOW,1|10,True
