rule_id,primary_emotion,state_tag,intensity,weather_id,lighting_id,palette_id,expression_id,effect_id,composition_id,weight,avoid_visuals
EMR-001,JOY,PRIDE,HIGH,WTH_CLEAR,LGT_WARM_SUN,PAL_CORAL_GOLD,EXP_PROUD,FX_SPARKLE,COMP_WIDE,50,폭력|공포|절망 과장|추가 팔다리
EMR-002,JOY,RELIEF,MEDIUM,WTH_AFTER_RAIN,LGT_AFTER_RAIN,PAL_MINT_SKY,EXP_RELIEVED,FX_AFTER_RAIN,COMP_CLOSE,50,폭력|공포|절망 과장|추가 팔다리
EMR-003,JOY,EXCITEMENT,HIGH,WTH_CLEAR,LGT_GAME,PAL_CANDY,EXP_BRIGHT,FX_SPARKLE,COMP_WIDE,50,폭력|공포|절망 과장|추가 팔다리
EMR-004,JOY,GRATITUDE,MEDIUM,WTH_SUNSET,LGT_GOLDEN,PAL_ROSE_GOLD,EXP_BRIGHT,FX_PETAL,COMP_TOGETHER,50,폭력|공포|절망 과장|추가 팔다리
EMR-005,JOY,SATISFACTION,LOW,WTH_SUNSET,LGT_GOLDEN,PAL_CREAM_BROWN,EXP_CALM,FX_STARS,COMP_BALANCED,50,폭력|공포|절망 과장|추가 팔다리
EMR-006,JOY,HOPE,MEDIUM,WTH_LIGHT_CLOUDS,LGT_RIM,PAL_MINT_SKY,EXP_HOPE,FX_PATH,COMP_PATH,50,폭력|공포|절망 과장|추가 팔다리
EMR-007,SADNESS,LONELINESS,HIGH,WTH_CLOUDY,LGT_LAMP,PAL_BLUE_GRAY,EXP_SAD,FX_STARS,COMP_CLOSE,50,폭력|공포|절망 과장|추가 팔다리
EMR-008,SADNESS,DISAPPOINTMENT,MEDIUM,WTH_CLOUDY,LGT_CLOUD,PAL_BLUE_GRAY,EXP_SAD,FX_RAIN,COMP_CLOSE,50,폭력|공포|절망 과장|추가 팔다리
EMR-009,SADNESS,EMPTINESS,LOW,WTH_MIST_DAWN,LGT_DAWN,PAL_LAVENDER_BLUE,EXP_DEFAULT,FX_MIST,COMP_LANDSCAPE,50,폭력|공포|절망 과장|추가 팔다리
EMR-010,SADNESS,HURT,HIGH,WTH_AFTER_RAIN,LGT_AFTER_RAIN,PAL_SUNSET_PURPLE,EXP_TEARFUL,FX_AFTER_RAIN,COMP_CLOSE,50,폭력|공포|절망 과장|추가 팔다리
EMR-011,SADNESS,GRIEF,HIGH,WTH_AFTER_RAIN,LGT_LAMP,PAL_NAVY_GOLD,EXP_SAD,FX_STARS,COMP_LANDSCAPE,50,폭력|공포|절망 과장|추가 팔다리
EMR-012,SADNESS,REGRET,MEDIUM,WTH_SUNSET,LGT_GOLDEN,PAL_SUNSET_PURPLE,EXP_SAD,FX_PAPER,COMP_PATH,50,폭력|공포|절망 과장|추가 팔다리
EMR-013,ANGER,FRUSTRATION,HIGH,WTH_TWILIGHT,LGT_RIM,PAL_PLUM_CORAL,EXP_ANGER,FX_WIND,COMP_BALANCED,50,폭력|공포|절망 과장|추가 팔다리
EMR-014,ANGER,INJUSTICE,HIGH,WTH_LIGHT_CLOUDS,LGT_RIM,PAL_PLUM_CORAL,EXP_ANGER,FX_PATH,COMP_BALANCED,50,폭력|공포|절망 과장|추가 팔다리
EMR-015,ANGER,IRRITATION,MEDIUM,WTH_CLOUDY,LGT_CLOUD,PAL_SUNSET_PURPLE,EXP_IRRITATED,FX_WIND,COMP_BALANCED,50,폭력|공포|절망 과장|추가 팔다리
EMR-016,ANGER,BETRAYAL,HIGH,WTH_AFTER_RAIN,LGT_AFTER_RAIN,PAL_SUNSET_PURPLE,EXP_ANGER,FX_AFTER_RAIN,COMP_DISTANCE,50,폭력|공포|절망 과장|추가 팔다리
EMR-017,ANGER,OVERLOAD,HIGH,WTH_CLOUDY,LGT_LAMP,PAL_PLUM_CORAL,EXP_IRRITATED,FX_PAPER,COMP_BUSY,50,폭력|공포|절망 과장|추가 팔다리
EMR-018,ANXIETY,WORRY,MEDIUM,WTH_MIST_DAWN,LGT_LAMP,PAL_LAVENDER_BLUE,EXP_TENSE,FX_MIST,COMP_CLOSE,50,폭력|공포|절망 과장|추가 팔다리
EMR-019,ANXIETY,PRESSURE,HIGH,WTH_LIGHT_CLOUDS,LGT_RIM,PAL_LAVENDER_BLUE,EXP_TENSE,FX_PATH,COMP_CLOSE,50,폭력|공포|절망 과장|추가 팔다리
EMR-020,ANXIETY,UNCERTAINTY,MEDIUM,WTH_MIST_DAWN,LGT_DAWN,PAL_LAVENDER_BLUE,EXP_CONFUSED,FX_PATH,COMP_PATH,50,폭력|공포|절망 과장|추가 팔다리
EMR-021,ANXIETY,NERVOUSNESS,HIGH,WTH_STAR_NIGHT,LGT_STAR,PAL_NAVY_GOLD,EXP_TENSE,FX_STARS,COMP_CLOSE,50,폭력|공포|절망 과장|추가 팔다리
EMR-022,ANXIETY,OVERTHINKING,MEDIUM,WTH_CLOUDY,LGT_CLOUD,PAL_LAVENDER_BLUE,EXP_CONFUSED,FX_PAPER,COMP_BUSY,50,폭력|공포|절망 과장|추가 팔다리
EMR-023,ANXIETY,FEAR_OF_FAILURE,HIGH,WTH_AFTER_RAIN,LGT_RIM,PAL_SUNSET_PURPLE,EXP_TENSE,FX_PATH,COMP_PATH,50,폭력|공포|절망 과장|추가 팔다리
EMR-024,JOY,,MEDIUM,WTH_CLEAR,LGT_WARM_SUN,PAL_CORAL_GOLD,EXP_BRIGHT,FX_STARS,COMP_BALANCED,30,폭력|공포|절망 과장|추가 팔다리
EMR-025,SADNESS,,MEDIUM,WTH_CLOUDY,LGT_LAMP,PAL_BLUE_GRAY,EXP_SAD,FX_STARS,COMP_BALANCED,30,폭력|공포|절망 과장|추가 팔다리
EMR-026,ANGER,,MEDIUM,WTH_TWILIGHT,LGT_RIM,PAL_PLUM_CORAL,EXP_ANGER,FX_STARS,COMP_BALANCED,30,폭력|공포|절망 과장|추가 팔다리
EMR-027,ANXIETY,,MEDIUM,WTH_MIST_DAWN,LGT_DAWN,PAL_LAVENDER_BLUE,EXP_TENSE,FX_STARS,COMP_BALANCED,30,폭력|공포|절망 과장|추가 팔다리
