fallback_id,condition,analysis_status,weather_id,location_id,action_id,message_id,object_ids,note
FB_EMPTY,입력 없음,AMBIGUOUS,WTH_SUNSET,LOC_WINDOW,ACT_SIT_QUIET,MSG_UNCLEAR,OBJ_LAMP,구체 사건·사람을 임의 생성하지 않음
FB_SHORT,너무 짧거나 모호,AMBIGUOUS,WTH_CLOUDY,LOC_QUIET_ROOM,ACT_SIT_QUIET,MSG_UNCLEAR,OBJ_LAMP,구체 사건·사람을 임의 생성하지 않음
FB_POS_ONLY,긍정 감정만 있음,CLEAR,WTH_CLEAR,LOC_LAKESIDE,ACT_WATCH_VIEW,MSG_KEEP,OBJ_STARS,구체 사건·사람을 임의 생성하지 않음
FB_NEG_ONLY,부정 감정만 있음,CLEAR,WTH_CLOUDY,LOC_WINDOW,ACT_DRINK_WARM,MSG_CARE,OBJ_LAMP|OBJ_TEA,구체 사건·사람을 임의 생성하지 않음
FB_MIXED,감정 혼합,MIXED,WTH_AFTER_RAIN,LOC_SUNSET_WINDOW,ACT_WATCH_VIEW,MSG_UNCLEAR,OBJ_STARS,구체 사건·사람을 임의 생성하지 않음
FB_LOW_CONF,신뢰도 0.45 미만,AMBIGUOUS,WTH_MIST_DAWN,LOC_QUIET_ROOM,ACT_SIT_QUIET,MSG_UNCLEAR,OBJ_LAMP,구체 사건·사람을 임의 생성하지 않음
FB_NOT_DISCLOSED,말하고 싶지 않음,NOT_DISCLOSED,WTH_STAR_NIGHT,LOC_QUIET_ROOM,ACT_SIT_QUIET,MSG_CARE,OBJ_LAMP,구체 사건·사람을 임의 생성하지 않음
FB_MULTI,사건 3개 이상,MIXED,WTH_SUNSET,,,MSG_UNCLEAR,,구체 사건·사람을 임의 생성하지 않음
FB_PRIVATE,PRIVATE_MINIMAL,CLEAR,,LOC_QUIET_ROOM,,,,구체 사건·사람을 임의 생성하지 않음
FB_SAFETY,안전 검토 필요,SAFETY_REVIEW,WTH_AFTER_RAIN,LOC_QUIET_ROOM,ACT_DRINK_WARM,MSG_CARE,OBJ_LAMP,구체 사건·사람을 임의 생성하지 않음
